,filename,width,frequency,phase,start_height,end_height,predicted_frequency,mse,mae,me
0,image_1673.npy,504,1.2043443392705688,2.650495781669272,12.82255453493643,10.446573196306948,1.2214383,0.00029220132,0.017093897,0.017093897
1,image_4571.npy,487,0.5388847617518258,0.1141402010456912,19.64409706307097,22.917160621765973,0.58672,0.0022882207,0.04783535,0.04783535
2,image_8588.npy,441,1.0960382348101527,2.639139741306163,9.301255881256417,11.36129918907872,1.1946377,0.009721871,0.09859955,0.09859955
3,image_4190.npy,443,2.3654710083791994,1.8930454774114007,19.47310544810169,23.394456924012,2.7371964,0.13817972,0.37172532,0.37172532
4,image_9523.npy,532,4.592903196155304,4.9675207245953565,21.802126827146346,12.481815069381328,4.7409997,0.02193259,0.14809656,0.14809656
5,image_1103.npy,475,1.0538854652938658,2.4488397577688086,23.788890183470016,8.59207653815287,0.90344274,0.022633012,0.15044272,-0.15044272
6,image_4157.npy,571,2.749806326553904,0.8250628708580804,16.06353397761837,9.402080388589091,2.5818353,0.028214302,0.16797113,-0.16797113
7,image_154.npy,550,2.5939941854949025,0.4734608193981121,10.996329566585809,17.009517575305523,2.4558668,0.019079158,0.13812733,-0.13812733
8,image_1081.npy,500,2.087108541211955,4.7342264312709,19.002361506866485,22.9215693307234,2.0984087,0.00012769196,0.011300087,0.011300087
9,image_6333.npy,541,0.8275528566842152,0.6299341502899526,18.737117702656384,16.250669658740144,0.7568581,0.0049977386,0.070694685,-0.070694685
10,image_5487.npy,502,2.9520819371383995,5.6982124514402726,9.476974984060142,17.462224916478675,3.0079174,0.0031176014,0.055835485,0.055835485
11,image_1350.npy,537,3.970256733847653,1.8771596909583543,18.41927166354893,19.121405108674736,4.349327,0.14369428,0.37907028,0.37907028
12,image_3333.npy,431,1.9797688781894631,4.072544074648241,21.38105026060795,9.38472784955463,2.2049255,0.050695524,0.22515666,0.22515666
13,image_9717.npy,561,0.53268228099087,1.9173048237341297,15.18165986579271,10.999220230162493,0.69225264,0.025462653,0.15957022,0.15957022
