,filename,width,frequency,phase,start_height,end_height,predicted_frequency,mse,mae,me
0,image_1673.npy,504,1.2043443392705688,2.650495781669272,12.82255453493643,10.446573196306948,0.9512625,0.06405046,0.25308192,-0.25308192
1,image_4571.npy,487,0.5388847617518258,0.1141402010456912,19.64409706307097,22.917160621765973,0.75858283,0.048267294,0.21969819,0.21969819
2,image_8588.npy,441,1.0960382348101527,2.639139741306163,9.301255881256417,11.36129918907872,1.1281369,0.001030331,0.03209877,0.03209877
3,image_4190.npy,443,2.3654710083791994,1.8930454774114007,19.47310544810169,23.394456924012,2.207388,0.024990298,0.1580832,-0.1580832
4,image_9523.npy,532,4.592903196155304,4.9675207245953565,21.802126827146346,12.481815069381328,3.8760557,0.51387024,0.7168474,-0.7168474
5,image_1103.npy,475,1.0538854652938658,2.4488397577688086,23.788890183470016,8.59207653815287,0.8940731,0.025539981,0.15981233,-0.15981233
6,image_4157.npy,571,2.749806326553904,0.8250628708580804,16.06353397761837,9.402080388589091,2.5456152,0.04169405,0.20419121,-0.20419121
7,image_154.npy,550,2.5939941854949025,0.4734608193981121,10.996329566585809,17.009517575305523,2.2493935,0.118749626,0.34460068,-0.34460068
8,image_1081.npy,500,2.087108541211955,4.7342264312709,19.002361506866485,22.9215693307234,1.810046,0.07676371,0.27706265,-0.27706265
9,image_6333.npy,541,0.8275528566842152,0.6299341502899526,18.737117702656384,16.250669658740144,0.8315941,1.633222e-05,0.004041314,0.004041314
10,image_5487.npy,502,2.9520819371383995,5.6982124514402726,9.476974984060142,17.462224916478675,2.3822095,0.32475454,0.5698724,-0.5698724
11,image_1350.npy,537,3.970256733847653,1.8771596909583543,18.41927166354893,19.121405108674736,3.720244,0.06250644,0.25001287,-0.25001287
12,image_3333.npy,431,1.9797688781894631,4.072544074648241,21.38105026060795,9.38472784955463,1.7222316,0.06632543,0.25753725,-0.25753725
13,image_9717.npy,561,0.53268228099087,1.9173048237341297,15.18165986579271,10.999220230162493,0.93557334,0.16232109,0.40289092,0.40289092
14,image_9429.npy,544,1.4625499527000705,0.9928763881354056,18.302193019295466,13.353215668816317,1.4644389,3.5682847e-06,0.0018889904,0.0018889904
15,image_1760.npy,552,4.173138075750608,5.597852656599659,12.648741109817037,9.759081919386862,3.5010362,0.45172107,0.672102,-0.672102
16,image_5249.npy,536,3.697515779278028,2.590493172031262,10.612924759937416,14.229103843940758,3.1437316,0.30667686,0.55378413,-0.55378413
17,image_7140.npy,555,3.78093115955797,5.347346137940307,10.703902064572818,12.867714969980616,2.9017177,0.7730165,0.8792136,-0.8792136
18,image_913.npy,571,3.723153630647545,4.21410122276529,12.022712963215236,15.008055220933064,3.1808352,0.2941092,0.54231834,-0.54231834
19,image_8468.npy,434,3.642244040600066,3.31103776582075,21.39513751079817,15.705565594903344,3.3642428,0.07728473,0.2780013,-0.2780013
20,image_6838.npy,557,2.751531791656922,4.555872898666752,13.762206073662409,19.138790486018408,2.5700977,0.032918353,0.18143415,-0.18143415
21,image_1695.npy,470,3.157816451714173,5.409385896930159,17.853085874145343,10.971344522425351,2.9988914,0.025257174,0.15892506,-0.15892506
22,image_7629.npy,522,4.617847087338634,3.221830916963304,22.86263299916319,16.219566524200886,3.9527297,0.44238096,0.66511726,-0.66511726
23,image_8442.npy,457,1.907927684612038,3.647403031560926,14.688838938772031,8.25272181610235,1.5743747,0.111257575,0.33355296,-0.33355296
24,image_9385.npy,412,1.1034229297900549,3.5736331289663923,21.96954711373104,22.66165481329159,1.0724438,0.00095970073,0.030979037,-0.030979037
25,image_2371.npy,449,3.6705655114794,1.1385662508097083,8.48747172992833,20.444596463753456,3.3408499,0.108712465,0.32971573,-0.32971573
26,image_9673.npy,595,2.264291499194361,4.632235624169264,12.425156107343224,14.62109620506012,1.9065384,0.12798733,0.35775316,-0.35775316
